geoid,permits_total,permits_new_construction,permits_residential,permits_commercial,permit_trend,has_any_permits
24510010100,1223,3,230,30,0.5599489795918368,1
24510010200,1260,10,223,9,0.5632754342431762,1
24510010300,937,6,215,9,0.6044520547945206,1
24510010400,849,1,142,56,0.6140684410646388,1
24510010500,679,0,125,0,0.5645161290322581,1
24510020100,652,7,144,13,0.5673076923076923,1
24510020200,802,7,135,39,0.4962686567164179,1
24510020300,1614,19,219,335,0.5777126099706745,1
24510030100,731,132,208,41,0.3818525519848771,1
24510030200,906,10,134,243,0.6502732240437158,1
24510040100,2783,5,209,711,0.4803191489361702,1
24510040200,335,1,12,58,0.8406593406593407,1
24510060100,1273,0,234,4,0.506508875739645,1
24510060200,1442,0,298,11,0.6944770857814336,1
24510060300,820,0,192,13,0.6110019646365422,1
24510060400,533,1,63,51,0.7885906040268457,1
24510070100,1349,1,348,15,0.7610966057441253,1
24510070200,2624,1,585,32,0.5508274231678487,1
24510070300,1505,0,272,55,0.48422090729783035,1
24510070400,494,2,52,52,0.5935483870967742,1
24510080101,1102,0,222,25,0.5878962536023055,1
24510080102,1090,0,246,20,0.641566265060241,1
24510080200,929,0,266,13,0.6983546617915904,1
24510080301,1433,0,361,14,0.5975473801560758,1
24510080302,1096,0,209,21,0.579250720461095,1
24510080400,1467,1,393,9,0.6263858093126385,1
24510080500,848,0,228,12,0.9859484777517564,1
24510080600,2239,1,592,11,0.7130833970925784,1
24510080700,1423,0,308,18,0.5219251336898396,1
24510080800,665,3,128,12,0.4393939393939394,1
24510090100,1279,4,287,7,0.61489898989899,1
24510090200,826,8,168,3,0.6788617886178862,1
24510090300,1425,7,287,24,0.6267123287671232,1
24510090400,877,9,141,9,0.2710144927536232,1
24510090500,761,1,156,34,0.6365591397849463,1
24510090600,1391,1,308,8,0.6539833531510107,1
24510090700,1830,0,460,11,0.7199248120300752,1
24510090800,2298,1,609,37,0.7422289613343442,1
24510090900,1473,47,410,8,0.7127906976744186,1
24510100100,1321,14,329,36,0.957037037037037,1
24510100200,140,1,49,1,0.7948717948717948,1
24510100300,5,0,1,2,1.5,1
24510110100,424,0,93,44,0.7740585774058577,1
24510110200,1023,6,122,213,0.5523520485584219,1
24510120100,836,0,121,4,0.5954198473282443,1
24510120201,866,11,128,102,0.6156716417910447,1
24510120202,852,24,52,128,0.7899159663865546,1
24510120300,1283,0,259,21,0.5703794369645043,1
24510120400,754,1,168,19,0.6462882096069869,1
24510120500,1093,16,226,108,0.6712538226299695,1
24510120600,840,5,145,154,0.5909090909090909,1
24510120700,1031,13,194,73,0.7806563039723662,1
24510130100,766,3,159,10,0.5991649269311065,1
24510130200,1256,2,592,9,1.6553911205073997,1
24510130300,1221,1,273,13,0.6818181818181818,1
24510130400,1066,7,292,15,0.7249190938511327,1
24510130600,1759,10,331,82,0.6241920590951062,1
24510130700,1768,11,299,130,0.6790123456790124,1
24510130803,1176,71,295,6,0.3008849557522124,1
24510130804,801,22,184,9,0.602,1
24510130805,146,2,38,4,1.056338028169014,1
24510130806,531,5,60,28,0.38642297650130547,1
24510140100,1019,3,143,24,0.48759124087591244,1
24510140200,896,9,237,17,0.9436008676789588,1
24510140300,1606,8,420,31,0.7844444444444445,1
24510150100,670,0,190,6,0.8356164383561644,1
24510150200,1165,2,283,20,0.736214605067064,1
24510150300,1306,5,306,2,0.583030303030303,1
24510150400,1571,5,400,37,0.6748400852878464,1
24510150500,617,7,95,85,0.8984615384615384,1
24510150600,1739,6,474,44,0.6436672967863895,1
24510150701,789,0,189,3,0.64375,1
24510150702,1207,2,249,7,0.5106382978723404,1
24510150800,1568,7,385,26,0.693304535637149,1
24510150900,1313,0,310,6,0.5356725146198831,1
24510151000,1635,0,360,22,0.6399197592778335,1
24510151100,1601,2,375,19,0.7104700854700855,1
24510151200,1762,6,414,6,0.5046968403074296,1
24510151300,1942,1,467,29,0.6156405990016639,1
24510160100,1186,0,379,15,0.7313868613138687,1
24510160200,700,0,237,4,0.6470588235294118,1
24510160300,738,0,207,8,0.7869249394673123,1
24510160400,1318,1,364,6,0.856338028169014,1
24510160500,1726,0,377,20,0.5648232094288305,1
24510160600,1295,1,375,32,0.8368794326241135,1
24510160700,2242,3,598,17,0.7272727272727273,1
24510160801,785,1,168,8,0.7367256637168141,1
24510160802,1237,1,286,1,0.6106770833333334,1
24510170100,385,3,77,44,0.7990654205607477,1
24510170200,317,0,90,26,1.0584415584415585,1
24510170300,890,1,257,5,0.6984732824427481,1
24510180300,991,1,236,67,0.6353135313531353,1
24510190100,972,4,279,29,0.7357142857142858,1
24510190200,1034,0,298,27,0.8140350877192982,1
24510190300,1423,3,397,10,0.789937106918239,1
24510200100,1012,0,208,20,0.695142378559464,1
24510200200,1316,1,348,9,0.7711978465679677,1
24510200300,917,0,230,28,0.8829568788501027,1
24510200400,664,1,231,11,0.8092643051771117,1
24510200500,1294,5,341,23,1.0442338072669826,1
24510200600,1053,5,232,19,0.6767515923566879,1
24510200701,1577,0,338,11,0.5961538461538461,1
24510200702,589,0,115,5,0.5102564102564102,1
24510200800,829,2,211,30,0.6883910386965377,1
24510210100,1397,10,199,133,0.7375621890547264,1
24510210200,1802,2,375,70,0.6872659176029963,1
24510220100,1230,8,197,81,0.7012448132780082,1
24510230100,633,2,93,45,0.316008316008316,1
24510230200,788,4,146,40,0.7949886104783599,1
24510230300,2656,162,1203,231,2.8492753623188407,1
24510240100,1956,17,417,39,0.35082872928176795,1
24510240200,922,0,184,22,0.6493738819320215,1
24510240300,619,0,98,8,0.491566265060241,1
