permit_number,permit_type,description,neighborhood
COM2019-82307,1-05,"install (17)  # branch circuits/feeders , (30)  # fixtures/devices as per code.",Howard Park
COM2023-76018,1-08,INSTALL (52)  # FIXTURES/DEVICES AS PER CODE.,Belair-Edison
COM2023-63994,1-07,"***WE ARE DOING SOME REPAIR WORK ON THE FRONT FACADE****  SCOPE OF WORK:------EXTERIOR ALTERATIONS-----.  JUST CAULKING AND PAINTING TO SEAL A LEAK AND REPAIR THE CORNICE.  ****SEPARATE PERMIT REQUIRED FOR SCAFFOLDING. CONTACT DOT****AS PER CODE. ********** AS PER CHAP ATP: REPAIR THE LEAK ABOVE THE THIRD-STORY WINDOWS THAT REQUIRES REPAIR (ROTTEN WOOD), WHICH IS A PRIMARY EFFORT. THE WOOD WILL BE SEALED/REPLACED AS NECESSARY. IN ADDITION, THE CORNICE WILL BE SCRAPED AND PAINTED SOME MINOR TOUCH-UP PAINTING AND CRACK-FILLING WILL BE DONE ALSO. REPLACE THE MISSING DECORATIVE/VENTILATION BOARDS BELOW THE CORNICE. PAINT TO MATCH EXISTING MORTAR: NEW MORTAR TO MATCH HISTORIC IN COLOR, TEXTURE, MATERIAL COMPOSITION, AND JOINT PROFILE. ALL WORK TO MATCH PLANS/INFORMATION/SPECS IN CHAP FILES EXCEPT WHERE THIS ATP SUPERSEDES IT.",Mount Vernon
COM2020-53614,1-08,"INSTALL (25)  # BRANCH CIRCUITS/FEEDERS , (1) 200 AMPS ELECTRIC SERVICE UP TO 600V (#AMPS) AS PER CODE.",Middle East
COM2023-78814,1-09,1-200AMPS HEAVYUP,Mount Clare
BCCM-26-000673,Health-Care Clinic,"Add (26) and relocate (55) sprinkler heads in existing building to provide NFPA 13 sprinkler protection for new layout. Health Care Facility - No change to existing use.

This property is in an Urban Renewal Plan Area and must follow URP guidelines. For more information visit, https://planning.baltimorecity.gov/planning-plans/urban-renewal",Downtown
COM2024-75434,1-05,"SHOWER REPLACEMENT, NOT MOVING DRAIN, FIXTURE OR PLUMBING, ALL WORK WILL BE DONE ACCORDING TO BALTIMORE CITY CODE",Irvington
COM2024-95251,1-08,"REINSTATE ORIGINAL PERMIT.(ORIGINAL PERMIT:COM2023-71855:INSTALL (1) 34000 BTU FUEL-BURNING EQUIP, (11)  # PLUMBING FIXTURES, (1)  # SANITARY CONNECTION (RECONSTRUCTION0, (1)  # WATER SERVICE PIPE (RECONSTRUCTION), (1) 30000 BTU FUEL-BURNING EQUIP, (1) 80000 BTU FUEL-BURNING EQUIP AS PER CODE.)Original Permit Description:(COM2023-71855)INSTALL (1) 34000 BTU FUEL-BURNING EQUIP, (11)  # PLUMBING FIXTURES, (1)  # SANITARY CONNECTION (RECONSTRUCTION0, (1)  # WATER SERVICE PIPE (RECONSTRUCTION), (1) 30000 BTU FUEL-BURNING EQUIP, (1) 80000 BTU FUEL-BURNING EQUIP AS PER CODE.",Madison-Eastend
COM2022-77006,1-05,"WHEN DEMO THE DRYWALL THERE WAS ALOT OF WOOD ROOTEN. WE WILL HAVE TO REFRAME THE EXTERIOR FRAME ON THE BACK OF THE HOUSE . WE WILL ALSO INSTALL A SUPPORT BEAM FROM FIRST LEVEL TO SECOND. THERE IS A DOOR ON THE FRONT THAT WE WILL CONVERT ON WINDOW, ALL WORK WILL BE DONE ACCORDING TO BALTIMORE CITY CODE AND PER SUBMITTED PLANS ",Lauraville
COM2021-64416,2-02,REINSTATE ORIGINAL PERMIT.(ORIGINAL PERMIT:COM2020-58795:INSTALL (286)  # LOW VOLTAGE AS PER CODE.) Original Permit Description:(COM2020-58795) INSTALL (286)  # LOW VOLTAGE AS PER CODE.,Roland Park
COM2024-54151,2-03,"AMEND PERMIT: ADD HVAC CONTRACTOR . (ORIGINAL PERMIT:COM2023-03261:SCOPE OF WORK :------- LEVEL II INTERIOR ALTERATIONS ------ INTERIOR RENOVATION OF SEVERAL DISTINCT LAB SPACES ON THE 2ND, 3RD, AND 4TH FLOORS OF AN EXISTING HIGHER EDUCATION ACADEMIC RESEARCH BUILDING. PER PLANS AND AS PER CODE. ) Original Permit Description:(COM2023-03261) SCOPE OF WORK :------- LEVEL II INTERIOR ALTERATIONS ------ INTERIOR RENOVATION OF SEVERAL DISTINCT LAB SPACES ON THE 2ND, 3RD, AND 4TH FLOORS OF AN EXISTING HIGHER EDUCATION ACADEMIC RESEARCH BUILDING. PER PLANS AND AS PER CODE. ",Johns Hopkins Homewood
COM2024-76294,1-08,"REINSTATE ORIGINAL PERMIT.(ORIGINAL PERMIT:COM2023-63638:INSTALL (1) 150 AMPS ELECTRIC SERVICE UP TO 600V (#AMPS), (15)  # BRANCH CIRCUITS/FEEDERS , (1) 24000 BTU AIR-CON SYSTEM, HEAT PUMP, (1)  # NEW DISTRIBUTION SYSTEM (1-2 FAMILY), (1) 72000 BTU FUEL-BURNING EQUIP(FURNACE), (10)  # PLUMBING FIXTURES, (1)  # WATER SERVICE PIPE (RECONSTRUCTION), (1)  # SANITARY CONNECTION (RECONSTRUCTION0, (1)  # GAS TEST, (1) 18000 BTU FUEL-BURNING EQUIP, (1) 72000 BTU FUEL-BURNING EQUIP AS PER CODE.) Original Permit Description:(COM2023-63638) INSTALL (1) 150 AMPS ELECTRIC SERVICE UP TO 600V (#AMPS), (15)  # BRANCH CIRCUITS/FEEDERS , (1) 24000 BTU AIR-CON SYSTEM, HEAT PUMP, (1)  # NEW DISTRIBUTION SYSTEM (1-2 FAMILY), (1) 72000 BTU FUEL-BURNING EQUIP(FURNACE), (10)  # PLUMBING FIXTURES, (1)  # WATER SERVICE PIPE (RECONSTRUCTION), (1)  # SANITARY CONNECTION (RECONSTRUCTION0, (1)  # GAS TEST, (1) 18000 BTU FUEL-BURNING EQUIP, (1) 72000 BTU FUEL-BURNING EQUIP AS PER CODE.",Abell
BCCM-25-000376,Mixed Use (Commerical),Unit 705:  Replace damaged a/c wires going from the unit to the roof top of the building that were damaged in a fire.,Downtown
COM2019-84727,1-08,"scope of work: electrical alterations to include: remodel/rewire (install 18 new circuits, install new 200a service, install 45 fixtures/devices and 20 low voltage), all work will be done according to baltimore city code.",Dorchester
COM2020-84571,1-08,"INSTALL (20)  # BRANCH CIRCUITS/FEEDERS , (1) 200 AMPS NEW ELECTRICAL METERS, (1) 200 AMPS ELECTRIC SERVICE UP TO 600V (#AMPS) AS PER CODE.",Penn North
